ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
9.7426,17.2306,-5.4268,-5.4268
9.7444,17.5403,-5.4878,-5.4878
9.7477,17.3468,-5.4878,-5.4878
9.7484,17.2903,-5.5488,-5.5488
9.7513,17.1570,-5.4268,-5.4268
9.7531,17.4614,-5.3659,-5.3659
9.7563,17.5313,-5.3659,-5.3659
9.7593,17.4237,-5.4268,-5.4268
9.7613,17.4885,-5.5488,-5.5488
9.7634,17.3919,-5.4878,-5.4878
9.7675,17.3494,-5.3049,-5.3049
9.7697,17.2469,-5.4878,-5.4878
9.7715,17.5396,-5.4878,-5.4878
9.7752,17.2857,-5.4268,-5.4268
9.7768,17.3382,-5.4878,-5.4878
9.7793,17.4491,-5.3659,-5.3659
9.7818,17.3579,-5.4878,-5.4878
9.7823,17.2148,-5.5488,-5.5488
9.7840,17.4076,-5.4268,-5.4268
9.7857,17.4425,-5.4268,-5.4268
9.7876,17.3092,-5.4268,-5.4268
9.7879,17.6192,-5.4878,-5.4878
9.7913,17.3865,-5.4268,-5.4268
9.7924,17.4454,-5.4268,-5.4268
9.7937,17.3323,-5.4268,-5.4268
9.7946,17.2102,-5.4878,-5.4878
9.7957,17.5331,-5.4878,-5.4878
9.7977,17.2671,-5.4268,-5.4268
9.7989,17.2325,-5.4268,-5.4268
9.8004,17.0970,-5.4268,-5.4268
9.8006,17.4311,-5.4878,-5.4878
9.8019,17.5176,-5.4878,-5.4878
9.8048,17.3694,-5.4268,-5.4268
9.8065,17.2959,-5.4268,-5.4268
9.8093,17.2264,-5.3659,-5.3659
9.8097,17.1017,-5.4878,-5.4878
9.8104,17.7346,-5.5488,-5.5488
9.8141,17.5281,-5.4268,-5.4268
9.8164,17.4806,-5.4268,-5.4268
9.8174,17.1876,-5.4878,-5.4878
9.8179,17.4423,-5.4268,-5.4268
9.8207,17.3238,-5.4878,-5.4878
9.8224,17.2289,-5.4878,-5.4878
9.8224,17.2389,-5.4268,-5.4268
9.8237,17.4792,-5.4878,-5.4878
9.8256,17.3290,-5.4878,-5.4878
9.8270,17.4663,-5.4878,-5.4878
9.8284,17.2074,-5.4878,-5.4878
9.8295,17.4161,-5.4268,-5.4268
9.8316,17.4000,-5.4268,-5.4268
9.8350,17.3404,-5.4268,-5.4268
9.8365,17.4708,-5.4268,-5.4268
9.8378,17.3574,-5.4878,-5.4878
9.8402,17.3476,-5.3659,-5.3659
9.8412,17.3941,-5.4268,-5.4268
9.8425,17.4316,-5.4268,-5.4268
9.8446,17.4240,-5.4268,-5.4268
9.8471,17.4793,-5.4268,-5.4268
9.8492,17.5014,-5.4268,-5.4268
9.8511,17.2134,-5.4878,-5.4878
9.8524,17.4176,-5.4268,-5.4268
9.8541,17.3085,-5.4878,-5.4878
9.8556,17.5105,-5.4268,-5.4268
9.8576,17.4850,-5.5488,-5.5488
9.8598,17.2634,-5.4878,-5.4878
9.8608,17.1247,-5.4268,-5.4268
9.8617,17.2144,-5.4268,-5.4268
9.8627,17.4923,-5.4268,-5.4268
9.8644,17.3716,-5.3659,-5.3659
9.8664,17.2747,-5.3659,-5.3659
9.8669,17.1170,-5.4268,-5.4268
9.8662,17.4663,-5.5488,-5.5488
9.8672,17.4961,-5.4878,-5.4878
9.8690,17.3420,-5.4268,-5.4268
9.8705,17.5345,-5.4878,-5.4878
9.8726,17.3140,-5.4268,-5.4268
9.8747,17.4150,-5.3659,-5.3659
9.8746,17.2450,-5.5488,-5.5488
9.8754,17.3230,-5.4878,-5.4878
9.8769,17.3272,-5.4268,-5.4268
9.8779,17.3489,-5.4268,-5.4268
9.8783,17.4004,-5.4268,-5.4268
9.8798,17.4647,-5.4268,-5.4268
9.8809,17.3527,-5.4268,-5.4268
9.8823,17.2516,-5.3659,-5.3659
9.8832,17.2698,-5.4268,-5.4268
